onet_soc_code,employment_us,median_wage_usd,wage_p25_usd,wage_p75_usd
51-6099.00,14450,37010,32850,44810
51-7011.00,79540,46020,38240,54010
51-7021.00,14230,42530,36770,49020
51-7031.00,360,51850,40420,80380
51-7032.00,180,52520,45450,77410
51-7041.00,43140,39950,35550,47770
51-7042.00,63350,40440,36260,47650
51-7099.00,6590,41220,35890,48820
51-8011.00,5720,122610,107170,131520
51-8012.00,9180,107240,91670,128690
51-8013.00,30720,99670,77400,111980
51-8021.00,30780,75190,60110,96420
51-8031.00,126750,58260,47020,71280
51-8091.00,17840,73540,57080,98050
51-8092.00,15910,83400,73150,100000
51-8093.00,34860,97540,77970,104660
51-8099.00,15950,61710,47860,76910
51-9011.00,127410,57090,45660,71400
51-9012.00,54200,49500,41830,61350
51-9021.00,28550,46890,38990,58440
51-9022.00,11850,41690,36660,48410
51-9023.00,100840,47680,39800,57940
51-9031.00,7070,38800,33860,48790
51-9032.00,47540,45700,38540,52000
51-9041.00,57310,45130,38410,51970
51-9051.00,16160,47010,39250,57840
51-9061.00,591180,47460,38740,59970
51-9071.00,23420,49140,38030,63210
51-9081.00,33920,48310,39250,62320
51-9082.00,11490,47060,40300,58710
51-9083.00,18740,38420,35580,45410
51-9111.00,383860,40900,36250,48440
51-9123.00,8470,40860,34540,50700
51-9124.00,159500,47590,39470,58740
51-9141.00,32150,51180,45320,74640
51-9151.00,5550,40100,34460,51590
51-9161.00,176950,49970,42710,60980
51-9162.00,28230,65670,55960,80300
51-9191.00,12170,45210,36420,52060
51-9192.00,13890,41460,37140,48280
51-9193.00,6590,40160,36150,49150
51-9194.00,8390,40450,35650,48510
51-9195.00,34750,45690,38500,51340
51-9196.00,96950,49390,43520,59220
51-9197.00,20970,55580,48740,65410
51-9198.00,167490,38220,34390,44980
51-9199.00,277060,38820,35080,47550
53-1041.00,10160,63940,49020,79600
53-1047.00,605510,61890,48750,77520
53-2011.00,99300,226600,154360,#
53-2012.00,51830,122670,81660,175050
53-2021.00,22400,144580,101150,186510
53-2022.00,16640,56750,41220,78320
53-2031.00,130110,67130,52280,98160
53-3011.00,12080,34330,29580,38000
53-3031.00,417420,37130,29120,47590
53-3032.00,2070480,57440,47230,65520
53-3033.00,994410,44140,36670,52460
53-3051.00,387920,47040,37490,56140
53-3052.00,148980,57440,46050,69090
53-3053.00,229630,36670,31460,44510
53-3054.00,17510,36220,31320,40630
53-3099.00,50330,36260,30250,47130
53-4011.00,31990,77400,73410,84230
53-4013.00,3300,58030,51770,65530
53-4022.00,12460,65480,51730,70130
53-4031.00,42710,74080,63480,82060
53-4041.00,9200,84830,59500,87940
53-4099.00,1520,49330,40460,64710
53-5011.00,31360,49610,38450,65370
53-5021.00,35390,85540,60800,124530
53-5022.00,2380,51880,39860,68490
53-5031.00,8580,101320,71720,130380
53-6011.00,2720,58490,43700,69530
53-6021.00,134650,34600,29590,37230
53-6031.00,98270,34850,30600,38430
53-6032.00,27310,41540,37320,47390
53-6041.00,7580,58480,46690,74480
53-6051.00,23320,85750,58650,105020
53-6061.00,25340,37560,32090,41180
53-6099.00,10960,39630,32630,53350
53-7011.00,26060,41230,37500,48640
53-7021.00,42000,66370,50970,81630
53-7031.00,1030,48430,46120,60300
53-7041.00,2480,52310,39220,90200
53-7051.00,805770,46390,39780,53680
53-7061.00,373960,35270,29790,39630
53-7062.00,2982530,38940,35410,46370
53-7063.00,46690,39700,36020,48220
53-7064.00,601440,35580,31470,40960
53-7065.00,2779530,37090,33710,43140
53-7071.00,5110,71510,57520,88090
53-7072.00,12600,60020,47270,75160
53-7073.00,17350,70010,54450,80720
53-7081.00,139180,48350,38330,61010
53-7121.00,10920,58070,47260,71230
53-7199.00,25190,41690,35470,50850
