Major groups,Job title,Average score,mean_exposure_level,Standard deviation
7 - Craft and related trades workers,Plumbers and Pipe Fitters,0.18,Not Exposed,0.1
7 - Craft and related trades workers,Metal Working Machine Tool Setters and  Operators,0.18,Not Exposed,0.05
7 - Craft and related trades workers,Motor Vehicle Mechanics and Repairers,0.18,Not Exposed,0.04
7 - Craft and related trades workers,Jewellery and Precious Metal Workers,0.18,Not Exposed,0.05
7 - Craft and related trades workers,Potters and Related Workers,0.18,Not Exposed,0.07
7 - Craft and related trades workers,"Sign Writers, Decorative Painters, Engravers and Etchers",0.18,Not Exposed,0.08
7 - Craft and related trades workers,Upholsterers and Related Workers,0.18,Not Exposed,0.09
"8 - Plant and machine operators, and assemblers",Rubber Products Machine Operators,0.18,Not Exposed,0.05
"8 - Plant and machine operators, and assemblers",Paper Products Machine Operators,0.18,Not Exposed,0.02
"8 - Plant and machine operators, and assemblers",Bus and Tram Drivers,0.18,Not Exposed,0.06
"8 - Plant and machine operators, and assemblers","Crane, hoist and related plant operators",0.18,Not Exposed,0.03
9 - Elementary occupations,Fast Food Preparers,0.18,Not Exposed,0.05
9 - Elementary occupations,Street and Related Service Workers,0.18,Not Exposed,0.09
9 - Elementary occupations,Refuse Sorters,0.18,Not Exposed,0.11
2 - Professionals,Religious Professionals,0.17,Not Exposed,0.12
3 - Technicians and associate professionals,Physiotherapy Technicians and Assistants,0.17,Not Exposed,0.07
5 - Service and sales workers,Hairdressers,0.17,Not Exposed,0.18
5 - Service and sales workers,Undertakers and Embalmers,0.17,Not Exposed,0.17
"6 - Skilled agricultural, forestry and fishery workers",Tree and Shrub Crop Growers,0.17,Not Exposed,0.11
"6 - Skilled agricultural, forestry and fishery workers",Mixed Crop Growers,0.17,Not Exposed,0.12
"6 - Skilled agricultural, forestry and fishery workers",Livestock and Dairy Producers,0.17,Not Exposed,0.1
"6 - Skilled agricultural, forestry and fishery workers",Inland and Coastal Waters Fishery Workers,0.17,Not Exposed,0.1
7 - Craft and related trades workers,"Blacksmiths, Hammersmiths and Forging Press Workers",0.17,Not Exposed,0.05
7 - Craft and related trades workers,"Metal Polishers, Wheel Grinders and Tool Sharpeners",0.17,Not Exposed,0.05
7 - Craft and related trades workers,Agricultural and Industrial Machinery Mechanics and Repairers,0.17,Not Exposed,0.04
7 - Craft and related trades workers,Electrical Mechanics and Fitters,0.17,Not Exposed,0.05
7 - Craft and related trades workers,"Bakers, Pastry-cooks and Confectionery Makers",0.17,Not Exposed,0.08
7 - Craft and related trades workers,Garment and Related Patternmakers and Cutters,0.17,Not Exposed,0.04
7 - Craft and related trades workers,Shoemakers and Related Workers,0.17,Not Exposed,0.06
"8 - Plant and machine operators, and assemblers",Miners and Quarriers,0.17,Not Exposed,0.11
"8 - Plant and machine operators, and assemblers",Plastic Products Machine Operators,0.17,Not Exposed,0.05
"8 - Plant and machine operators, and assemblers",Glass and Ceramics Plant Operators,0.17,Not Exposed,0.06
"8 - Plant and machine operators, and assemblers","Railway Brake, Signal and Switch Operators",0.17,Not Exposed,0.04
3 - Technicians and associate professionals,Dental Assistants and Therapists,0.16,Not Exposed,0.1
7 - Craft and related trades workers,Cabinet-makers and Related Workers,0.16,Not Exposed,0.06
7 - Craft and related trades workers,Underwater Divers,0.16,Not Exposed,0.09
"8 - Plant and machine operators, and assemblers",Weaving and Knitting Machine Operators,0.16,Not Exposed,0.03
"8 - Plant and machine operators, and assemblers",Shoemaking and Related Machine Operators,0.16,Not Exposed,0.02
"8 - Plant and machine operators, and assemblers",Laundry Machine Operators,0.16,Not Exposed,0.03
"8 - Plant and machine operators, and assemblers","Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified",0.16,Not Exposed,0.01
2 - Professionals,Dentists,0.15,Not Exposed,0.06
5 - Service and sales workers,Personal Care Workers in Health Services Not Elsewhere Classified,0.15,Not Exposed,0.03
7 - Craft and related trades workers,Electrical Line Installers and Repairers,0.15,Not Exposed,0.08
7 - Craft and related trades workers,"Fruit, Vegetable and Related Preservers",0.15,Not Exposed,0.04
7 - Craft and related trades workers,"Tailors, Dressmakers, Furriers and Hatters",0.15,Not Exposed,0.05
"8 - Plant and machine operators, and assemblers","Fibre Preparing, Spinning and Winding Machine Operators",0.15,Not Exposed,0.02
"8 - Plant and machine operators, and assemblers",Sewing Machine Operators,0.15,Not Exposed,0.03
"8 - Plant and machine operators, and assemblers",Fur and Leather Preparing Machine Operators,0.15,Not Exposed,0.02
"8 - Plant and machine operators, and assemblers",Food and Related Products Machine Operators,0.15,Not Exposed,0.03
2 - Professionals,Veterinarians,0.14,Not Exposed,0.05
3 - Technicians and associate professionals,Veterinary Technicians and Assistants,0.14,Not Exposed,0.02
5 - Service and sales workers,Pet Groomers and Animal Care Workers,0.14,Not Exposed,0.06
5 - Service and sales workers,Health Care Assistants,0.14,Not Exposed,0.06
5 - Service and sales workers,Police Officers,0.14,Not Exposed,0.03
5 - Service and sales workers,Prison Guards,0.14,Not Exposed,0.04
7 - Craft and related trades workers,House Builders,0.14,Not Exposed,0.07
7 - Craft and related trades workers,Glaziers,0.14,Not Exposed,0
7 - Craft and related trades workers,Musical Instrument Makers and Tuners,0.14,Not Exposed,0.02
7 - Craft and related trades workers,"Handicraft Workers in Wood, Basketry and Related Materials",0.14,Not Exposed,0.01
7 - Craft and related trades workers,Tobacco Preparers and Tobacco Products Makers,0.14,Not Exposed,0.06
7 - Craft and related trades workers,Craft and Related Workers not Elsewhere Classified,0.14,Not Exposed,0.01
"8 - Plant and machine operators, and assemblers",Wood Processing Plant Operators,0.14,Not Exposed,0.05
"8 - Plant and machine operators, and assemblers",Ships' Deck Crews and Related Workers,0.14,Not Exposed,0.02
9 - Elementary occupations,Domestic Cleaners and Helpers,0.14,Not Exposed,0.08
9 - Elementary occupations,Hand Launderers and Pressers,0.14,Not Exposed,0.03
9 - Elementary occupations,Freight Handlers,0.14,Not Exposed,0.03
2 - Professionals,Creative and Performing Artists Not Elsewhere Classified,0.13,Not Exposed,0.06
"6 - Skilled agricultural, forestry and fishery workers",Subsistence Crop Farmers,0.13,Not Exposed,0.05
"6 - Skilled agricultural, forestry and fishery workers",Subsistence Livestock Farmers,0.13,Not Exposed,0.04
7 - Craft and related trades workers,Carpenters and Joiners,0.13,Not Exposed,0.02
7 - Craft and related trades workers,Roofers,0.13,Not Exposed,0.08
7 - Craft and related trades workers,Insulation Workers,0.13,Not Exposed,0.02
7 - Craft and related trades workers,Painters and Related Workers,0.13,Not Exposed,0.04
7 - Craft and related trades workers,Metal Moulders and Coremakers,0.13,Not Exposed,0.01
7 - Craft and related trades workers,Welders and Flame Cutters,0.13,Not Exposed,0.05
7 - Craft and related trades workers,Riggers and Cable Splicers,0.13,Not Exposed,0.03
7 - Craft and related trades workers,Bicycle and Related Repairers,0.13,Not Exposed,0.02
7 - Craft and related trades workers,"Handicraft Workers in Textile, Leather and Related Materials",0.13,Not Exposed,0.03
7 - Craft and related trades workers,"Butchers, Fishmongers and Related Food Preparers",0.13,Not Exposed,0.03
7 - Craft and related trades workers,Fumigators and Other Pest and Weed Controllers,0.13,Not Exposed,0.04
"8 - Plant and machine operators, and assemblers",Earthmoving and Related Plant Operators,0.13,Not Exposed,0.02
9 - Elementary occupations,Drivers of Animal-drawn Vehicles and Machinery,0.13,Not Exposed,0.08
9 - Elementary occupations,Kitchen Helpers,0.13,Not Exposed,0.02
3 - Technicians and associate professionals,Religious Associate Professionals,0.12,Not Exposed,0.07
"6 - Skilled agricultural, forestry and fishery workers",Forestry and Related Workers,0.12,Not Exposed,0.05
"6 - Skilled agricultural, forestry and fishery workers",Subsistence Mixed Crop and Livestock Farmers,0.12,Not Exposed,0.05
"6 - Skilled agricultural, forestry and fishery workers","Subsistence Fishers, Hunters, Trappers and Gatherers",0.12,Not Exposed,0.05
7 - Craft and related trades workers,Spray Painters and Varnishers,0.12,Not Exposed,0
7 - Craft and related trades workers,"Sewing, Embroidery and Related Workers",0.12,Not Exposed,0.02
7 - Craft and related trades workers,Shotfirers and Blasters,0.12,Not Exposed,0.05
"8 - Plant and machine operators, and assemblers",Mobile Farm and Forestry Plant Operators,0.12,Not Exposed,0.03
9 - Elementary occupations,"Cleaners and Helpers in Offices, Hotels and Other Establishments",0.12,Not Exposed,0.02
9 - Elementary occupations,Livestock Farm Labourers,0.12,Not Exposed,0.03
9 - Elementary occupations,Garden and Horticultural Labourers,0.12,Not Exposed,0.02
9 - Elementary occupations,Manufacturing Labourers Not Elsewhere Classified,0.12,Not Exposed,0.02
7 - Craft and related trades workers,"Stonemasons, Stone Cutters, Splitters and Carvers",0.11,Not Exposed,0.02
7 - Craft and related trades workers,Plasterers,0.11,Not Exposed,0.01
7 - Craft and related trades workers,Structural Metal Preparers and Erectors,0.11,Not Exposed,0.02
7 - Craft and related trades workers,"Pelt Dressers, Tanners and Fellmongers",0.11,Not Exposed,0.03
9 - Elementary occupations,Window Cleaners,0.11,Not Exposed,0.03
9 - Elementary occupations,Mixed Crop and Livestock Farm Labourers,0.11,Not Exposed,0.03
9 - Elementary occupations,Fishery and Aquaculture Labourers,0.11,Not Exposed,0.03
9 - Elementary occupations,Mining and Quarrying Labourers,0.11,Not Exposed,0.02
9 - Elementary occupations,Odd Job Persons,0.11,Not Exposed,0.03
7 - Craft and related trades workers,"Concrete Placers, Concrete Finishers and Related Workers",0.1,Not Exposed,0.03
7 - Craft and related trades workers,Floor Layers and Tile Setters,0.1,Not Exposed,0.02
9 - Elementary occupations,Other Cleaning Workers,0.1,Not Exposed,0.01
"6 - Skilled agricultural, forestry and fishery workers",Hunters and Trappers,0.09,Not Exposed,0.03
7 - Craft and related trades workers,Bricklayers and Related Workers,0.09,Not Exposed,0.01
7 - Craft and related trades workers,Building Frame and Related Trades Workers Not Elsewhere Classified,0.09,Not Exposed,0.01
7 - Craft and related trades workers,Building Structure Cleaners,0.09,Not Exposed,0.01
9 - Elementary occupations,Vehicle Cleaners,0.09,Not Exposed,0.01
9 - Elementary occupations,Crop Farm Labourers,0.09,Not Exposed,0.02
9 - Elementary occupations,Forestry Labourers,0.09,Not Exposed,0.02
9 - Elementary occupations,Civil Engineering Labourers,0.09,Not Exposed,0.02
9 - Elementary occupations,Building Construction Labourers,0.09,Not Exposed,0.02
9 - Elementary occupations,Garbage and Recycling Collectors,0.09,Not Exposed,0.02
9 - Elementary occupations,Sweepers and Related Labourers,0.09,Not Exposed,0.03
9 - Elementary occupations,Water and Firewood Collectors,0.09,Not Exposed,0.03
